Artist,Name of Piece,Description / bio,Link to On Plaque,media_id,FILE
Good Boy William ,Spinelicker,"A shapeshifting specimen sculpted in virtual reality and grown digitally. Spinelicker is the first of 6 surreal plants in the ""Ecocistern"" series: a collection of interconnected digital organisms.",https://foundation.app/@willy/foundation/32252,spinelicker,
Good Boy William ,Nature's Course,"A surreal facility where old digital works from unfinished or canceled projects are broken down.

Most digital artists understand the frustration of creating work that never ends up being used. It is a strange feeling to create something that does not exist in our world, that has no physicality and is ultimately a series of hand-crafted 1s and 0s. Many digital artists work commercially to support themselves, creating large volumes of work that are never used and eventually forgotten about. Regardless of how much time it took to create the work, there is no physical reminder of its presence, no moment in which you have to bring it outside and throw it away. These digital objects simply vanish at the failure of a hard drive or a lapse in memory. It’s interesting to imagine the fate of these objects, the futility of having created them, and their not-so-glamorous departure from the digital world. Simultaneously memorialized and meaningless, this piece imagines the surreal void these objects disappear into, 


Sound by Erik Shiboski
Additional Animation by Hugo Shiboski",https://foundation.app/@willy/plv/1,nature_course,https://drive.google.com/drive/u/0/search?q=natures%20course
Good Boy William ,Quarantined Nostalgic Melody,"*In June 2022, Quarantined Nostalgic Melody will be nanolithographed onto a small disc that will be left on the moon in an upcoming N.A.S.A. research mission. The work will be auctioned as an NFT in the preceding months. Commissioned by Archmission",,quarantined_nostalgic_melody,https://drive.google.com/drive/u/0/folders/1T1axj3PfwoRgU22WV7Qc4FuFG4ocER_p
Cody Samson,Rose,"Cody Samson is an audio-visual artist creating unique animations through the use of machine learning, digital video processing, and embraced errors. These three pieces (""Rose"" ""Test Pattern 4"" ""Peep Show"") bring impressionism to a new light, combining a century-old style with generative computer graphics and highly processed video.",,rose,https://drive.google.com/file/d/1_zp5hscoruaFR9UGztvlzF-xEEbjbv3o/view
Cody Samson,Test Pattern 4,"Cody Samson is an audio-visual artist creating unique animations through the use of machine learning, digital video processing, and embraced errors. These three pieces (""Rose"" ""Test Pattern 4"" ""Peep Show"") bring impressionism to a new light, combining a century-old style with generative computer graphics and highly processed video.",,test_pattern_4,https://drive.google.com/file/d/1HHsb615MvLi22yHsMtXJep7erl11laAX/view
Cody Samson,Peep Show,"Cody Samson is an audio-visual artist creating unique animations through the use of machine learning, digital video processing, and embraced errors. These three pieces (""Rose"" ""Test Pattern 4"" ""Peep Show"") bring impressionism to a new light, combining a century-old style with generative computer graphics and highly processed video.",https://foundation.app/@shmodyshmamson/foundation/114106,peep_show,https://drive.google.com/file/d/1lxPCHL8WByVT4os6vJbB7vWUNHkqjOE0/view
MPkoz,Garden of Forking Paths,"An homage to the 1941 short story by Jorge Borges, ""Garden of Forking Paths"" is a generative painting that exemplifies the infinite possible outcomes of AI-generated imagery. In one reality it stands alone and finite, and in another, it is the first of an unending series. All geometries, movements, and behaviors are procedurally created with code. A custom holographic display hand-made by the artist will be sent to the winner. See examples on the artist's social media. Unique signed 1/1 prints will be sent to any persons bidding over the reserve.",https://superrare.com/artwork-v2/garden-of-forking-paths-29934,garden_of_forking_paths,https://drive.google.com/open?id=1C0DqLNKUt082pRXodANvj009APSOSYqp
MPkoz,Joshua Tree,"“Joshua Tree” is a generative painting, the product of thousands of lines of code and photographs taken on location by the artist. It is an attempt to capture the beauty of this unique region and impart a sense of nostalgia to anyone who has visited. The music was composed by AI and the photographs were transformed to three dimensions by custom machine learning software.",https://lgnd.art/asset/joshua-tree-cc,joshua_tree,https://drive.google.com/open?id=14l38sQDWUX3kIxOUuRII2s1rccXU9OyG
MPkoz,Perpetuation: Plein Air,"My Perpetuation series continues the theme of traditional methods and genres cast against modern techniques. This piece focuses on the practice of outdoor painting. It is a procedural collaboration with the computer, a painting that's never finished.
The winner will be sent its physical counterpart, a 1/1 handmade holographic display, which showcases the artwork in full 3D without glasses.
See my IG/Twitter (@mpkoz) or site (mpkoz.com) for examples of the physical piece.
",https://foundation.app/@mpkoz/foundation/12619,perpetuation_plein_air,https://drive.google.com/open?id=1FemsMR-ZSKy-ltniKktLe_6SxNUzsfnw
MPkoz,Perpetuation: Magnolia,"""Perpetuation: Magnolia"" is sourced from photogrammetric scans of real flowers. They are encased and manipulated permanently.
The first in my Perpetuation series.
1 of 1 Motion/video 1080x1080
A high resolution 4K video will be sent to the winner. It is looping and approximately 10 minutes long.
",https://foundation.app/@mpkoz/foundation/2760,perpetuation_magnolia,https://drive.google.com/open?id=1dgb_jSvN1ggbQ7_zMBlq_pceyfHmLmAE
